date,pair,status,price_fst_stock,price_scnd_stock,beta_open,beta_close,last_residual,std_residual,std_open_residual,residual_open,open_price_first_stock,open_price_scnd_stock,open_date,close_limit,stop_limit,halflife,days_open,correlation,correlation_limit,var_limit
2019-04-23,"('BBDC4', 'ITSA4')",True,23.73,9.84,3.0106815223306747,,1.5591809290847785,0.8030022777910192,0.8111583169479516,1.9674949192948183,24.01,9.86,2019-04-09,0.4055791584739587,812.7806335818475,11.0,9,0.9723680693750865,0.8229557351837617,-0.017081812840686827
2019-04-24,"('BBDC4', 'ITSA4')",True,23.57,9.84,3.0106815223306747,,1.3796629083672514,0.7984611189628498,0.8111583169479516,1.9674949192948183,24.01,9.86,2019-04-09,0.4055791584739587,812.7806335818475,11.0,10,0.9723680693750865,0.8229557351837617,-0.017081812840686827
2019-04-25,"('BBDC4', 'ITSA4')",True,23.85,9.99,3.0106815223306747,,1.1793956725544525,0.7936328010733806,0.8111583169479516,1.9674949192948183,24.01,9.86,2019-04-09,0.4055791584739587,812.7806335818475,11.0,11,0.9723680693750865,0.8229557351837617,-0.017081812840686827
2019-04-26,"('BBDC4', 'ITSA4')",close,23.78,9.98,3.0106815223306747,3.094110700223064,1.1203948454868424,0.7853354284919577,0.8111583169479516,1.9674949192948183,24.01,9.86,2019-04-09,0.4055791584739587,812.7806335818475,11.0,12,0.9723680693750865,0.8229557351837617,-0.017081812840686827
2019-05-03,"('BBDC4', 'ITSA4')",True,23.79,9.77,3.118071115742036,,1.7084275312527026,0.7685450198461862,0.7685450198461862,1.7084275312527026,23.79,9.77,2019-05-03,0.3842725099231109,770.0821098858786,8.0,0,0.9774091468130481,0.8229557351837617,-0.017081812840686827
2019-05-06,"('BBDC4', 'ITSA4')",True,23.15,9.5,3.118071115742036,,1.8923697087572293,0.769734882044476,0.7685450198461862,1.7084275312527026,23.79,9.77,2019-05-03,0.3842725099231109,770.0821098858786,8.0,1,0.9774091468130481,0.8229557351837617,-0.017081812840686827
2019-05-07,"('BBDC4', 'ITSA4')",True,23.0,9.5,3.118071115742036,,1.725372085809564,0.7697842308376652,0.7685450198461862,1.7084275312527026,23.79,9.77,2019-05-03,0.3842725099231109,770.0821098858786,8.0,2,0.9774091468130481,0.8229557351837617,-0.017081812840686827
2019-05-08,"('BBDC4', 'ITSA4')",True,23.48,9.58,3.118071115742036,,1.9299801976237099,0.7608158186085859,0.7685450198461862,1.7084275312527026,23.79,9.77,2019-05-03,0.3842725099231109,770.0821098858786,8.0,3,0.9774091468130481,0.8229557351837617,-0.017081812840686827
2019-05-09,"('BBDC4', 'ITSA4')",True,23.07,9.54,3.118071115742036,,1.6231244316118811,0.7505424541819817,0.7685450198461862,1.7084275312527026,23.79,9.77,2019-05-03,0.3842725099231109,770.0821098858786,8.0,4,0.9774091468130481,0.8229557351837617,-0.017081812840686827
2019-05-10,"('BBDC4', 'ITSA4')",True,22.86,9.5,3.118071115742036,,1.5172971227556076,0.737480457381513,0.7685450198461862,1.7084275312527026,23.79,9.77,2019-05-03,0.3842725099231109,770.0821098858786,8.0,5,0.9774091468130481,0.8229557351837617,-0.017081812840686827
2019-05-13,"('BBDC4', 'ITSA4')",True,22.3,9.34,3.118071115742036,,1.4495216543367206,0.7377895447300772,0.7685450198461862,1.7084275312527026,23.79,9.77,2019-05-03,0.3842725099231109,770.0821098858786,8.0,6,0.9774091468130481,0.8229557351837617,-0.017081812840686827
2019-05-14,"('BBDC4', 'ITSA4')",True,22.23,9.36,3.118071115742036,,1.3065611271024054,0.7396932751319488,0.7685450198461862,1.7084275312527026,23.79,9.77,2019-05-03,0.3842725099231109,770.0821098858786,8.0,7,0.9774091468130481,0.8229557351837617,-0.017081812840686827
2019-05-15,"('BBDC4', 'ITSA4')",True,21.99,9.34,3.118071115742036,,1.12243934459703,0.7421534120956353,0.7685450198461862,1.7084275312527026,23.79,9.77,2019-05-03,0.3842725099231109,770.0821098858786,8.0,8,0.9774091468130481,0.8229557351837617,-0.017081812840686827
2019-05-16,"('BBDC4', 'ITSA4')",close,21.73,9.2,3.118071115742036,3.1591876683441757,1.2962097571835365,0.7449990107316733,0.7685450198461862,1.7084275312527026,23.79,9.77,2019-05-03,0.3842725099231109,770.0821098858786,8.0,9,0.9774091468130481,0.8229557351837617,-0.017081812840686827
2019-01-15,"('BBDC4', 'ITUB4')",True,23.07,26.51,0.9526200447269867,,1.2998063084081863,0.5581643481188843,0.5581643481188843,1.2998063084081863,23.07,26.51,2019-01-15,0.27908217405943003,559.2806768151221,13.0,0,0.9651906501356148,0.8229557351837617,-0.015259671948053388
2019-01-16,"('BBDC4', 'ITUB4')",True,23.18,26.43,0.9526200447269867,,1.4532570284980189,0.55721315739205,0.5581643481188843,1.2998063084081863,23.07,26.51,2019-01-15,0.27908217405943003,559.2806768151221,13.0,1,0.9651906501356148,0.8229557351837617,-0.015259671948053388
2019-01-17,"('BBDC4', 'ITUB4')",True,23.25,26.43,0.9526200447269867,,1.4897063793684744,0.5557937520852146,0.5581643481188843,1.2998063084081863,23.07,26.51,2019-01-15,0.27908217405943003,559.2806768151221,13.0,2,0.9651906501356148,0.8229557351837617,-0.015259671948053388
2019-01-18,"('BBDC4', 'ITUB4')",True,23.49,26.77,0.9526200447269867,,1.363496924207272,0.5521894223213446,0.5581643481188843,1.2998063084081863,23.07,26.51,2019-01-15,0.27908217405943003,559.2806768151221,13.0,3,0.9651906501356148,0.8229557351837617,-0.015259671948053388
2019-01-21,"('BBDC4', 'ITUB4')",True,23.22,26.55,0.9526200447269867,,1.2769891616161146,0.5488945154673333,0.5581643481188843,1.2998063084081863,23.07,26.51,2019-01-15,0.27908217405943003,559.2806768151221,13.0,4,0.9651906501356148,0.8229557351837617,-0.015259671948053388
2019-01-22,"('BBDC4', 'ITUB4')",True,23.12,26.51,0.9526200447269867,,1.1897941242908878,0.5452872693515656,0.5581643481188843,1.2998063084081863,23.07,26.51,2019-01-15,0.27908217405943003,559.2806768151221,13.0,5,0.9651906501356148,0.8229557351837617,-0.015259671948053388
2019-01-23,"('BBDC4', 'ITUB4')",True,23.51,26.69,0.9526200447269867,,1.3694487127850152,0.542962819780581,0.5581643481188843,1.2998063084081863,23.07,26.51,2019-01-15,0.27908217405943003,559.2806768151221,13.0,6,0.9651906501356148,0.8229557351837617,-0.015259671948053388
2019-01-24,"('BBDC4', 'ITUB4')",True,23.75,26.65,0.9526200447269867,,1.61482217242364,0.5431598340239093,0.5581643481188843,1.2998063084081863,23.07,26.51,2019-01-15,0.27908217405943003,559.2806768151221,13.0,7,0.9651906501356148,0.8229557351837617,-0.015259671948053388
2019-01-28,"('BBDC4', 'ITUB4')",True,23.94,27.13,0.9526200447269867,,1.2885163930619399,0.540469191174089,0.5581643481188843,1.2998063084081863,23.07,26.51,2019-01-15,0.27908217405943003,559.2806768151221,13.0,8,0.9651906501356148,0.8229557351837617,-0.015259671948053388
2019-01-29,"('BBDC4', 'ITUB4')",True,23.63,26.93,0.9526200447269867,,1.1561575197764746,0.5352170541703031,0.5581643481188843,1.2998063084081863,23.07,26.51,2019-01-15,0.27908217405943003,559.2806768151221,13.0,9,0.9651906501356148,0.8229557351837617,-0.015259671948053388
2019-01-30,"('BBDC4', 'ITUB4')",True,23.58,27.1,0.9526200447269867,,0.9105548320367021,0.5274139345577548,0.5581643481188843,1.2998063084081863,23.07,26.51,2019-01-15,0.27908217405943003,559.2806768151221,13.0,10,0.9651906501356148,0.8229557351837617,-0.015259671948053388
2019-01-31,"('BBDC4', 'ITUB4')",True,24.91,27.57,0.9526200447269867,,1.7146648332621162,0.5281373325357407,0.5581643481188843,1.2998063084081863,23.07,26.51,2019-01-15,0.27908217405943003,559.2806768151221,13.0,11,0.9651906501356148,0.8229557351837617,-0.015259671948053388
2019-02-01,"('BBDC4', 'ITUB4')",True,24.6,27.6,0.9526200447269867,,1.3426832272453275,0.527896491262032,0.5581643481188843,1.2998063084081863,23.07,26.51,2019-01-15,0.27908217405943003,559.2806768151221,13.0,12,0.9651906501356148,0.8229557351837617,-0.015259671948053388
2019-02-04,"('BBDC4', 'ITUB4')",True,25.15,28.23,0.9526200447269867,,1.2023787273342244,0.52452119815419,0.5581643481188843,1.2998063084081863,23.07,26.51,2019-01-15,0.27908217405943003,559.2806768151221,13.0,13,0.9651906501356148,0.8229557351837617,-0.015259671948053388
2019-02-05,"('BBDC4', 'ITUB4')",close,25.16,27.03,0.9526200447269867,1.0554875161565358,2.4306576826025257,0.5390631859156052,0.5581643481188843,1.2998063084081863,23.07,26.51,2019-01-15,0.27908217405943003,559.2806768151221,13.0,14,0.9651906501356148,0.8229557351837617,-0.015259671948053388
2019-02-20,"('BBSE3', 'B3SA3')",True,21.88,9.36,1.6528226499802128,,-1.6615091308587573,0.7545564581353934,0.7545564581353934,-1.6615091308587573,21.88,9.36,2019-02-20,0.37727822906768704,756.0655710516642,11.0,0,0.8965759911946493,0.8229557351837617,-0.028741018438791288
2019-02-21,"('BBSE3', 'B3SA3')",True,21.68,9.31,1.6528226499802128,,-1.7313603377599946,0.7493889358212839,0.7545564581353934,-1.6615091308587573,21.88,9.36,2019-02-20,0.37727822906768704,756.0655710516642,11.0,1,0.8965759911946493,0.8229557351837617,-0.028741018438791288
2019-02-22,"('BBSE3', 'B3SA3')",True,21.89,9.55,1.6528226499802128,,-1.8523255158049245,0.7471536894773629,0.7545564581353934,-1.6615091308587573,21.88,9.36,2019-02-20,0.37727822906768704,756.0655710516642,11.0,2,0.8965759911946493,0.8229557351837617,-0.028741018438791288
2019-02-25,"('BBSE3', 'B3SA3')",True,22.06,9.62,1.6528226499802128,,-1.732793777428963,0.7418755085961878,0.7545564581353934,-1.6615091308587573,21.88,9.36,2019-02-20,0.37727822906768704,756.0655710516642,11.0,3,0.8965759911946493,0.8229557351837617,-0.028741018438791288
2019-02-26,"('BBSE3', 'B3SA3')",True,21.94,9.74,1.6528226499802128,,-1.9753533810030355,0.7484623854601538,0.7545564581353934,-1.6615091308587573,21.88,9.36,2019-02-20,0.37727822906768704,756.0655710516642,11.0,4,0.8965759911946493,0.8229557351837617,-0.028741018438791288
2019-02-27,"('BBSE3', 'B3SA3')",True,22.19,9.59,1.6528226499802128,,-1.4418588126964167,0.7504079035641718,0.7545564581353934,-1.6615091308587573,21.88,9.36,2019-02-20,0.37727822906768704,756.0655710516642,11.0,5,0.8965759911946493,0.8229557351837617,-0.028741018438791288
2019-02-28,"('BBSE3', 'B3SA3')",True,21.81,9.43,1.6528226499802128,,-1.5262425977011667,0.7531785276072888,0.7545564581353934,-1.6615091308587573,21.88,9.36,2019-02-20,0.37727822906768704,756.0655710516642,11.0,6,0.8965759911946493,0.8229557351837617,-0.028741018438791288
2019-03-01,"('BBSE3', 'B3SA3')",True,21.46,9.17,1.6528226499802128,,-1.4393585556631976,0.7554568303137543,0.7545564581353934,-1.6615091308587573,21.88,9.36,2019-02-20,0.37727822906768704,756.0655710516642,11.0,7,0.8965759911946493,0.8229557351837617,-0.028741018438791288
2019-03-06,"('BBSE3', 'B3SA3')",True,21.26,9.09,1.6528226499802128,,-1.4831347780902107,0.7589810143112604,0.7545564581353934,-1.6615091308587573,21.88,9.36,2019-02-20,0.37727822906768704,756.0655710516642,11.0,8,0.8965759911946493,0.8229557351837617,-0.028741018438791288
2019-03-07,"('BBSE3', 'B3SA3')",True,21.16,8.94,1.6528226499802128,,-1.3285431802826864,0.7621585497921708,0.7545564581353934,-1.6615091308587573,21.88,9.36,2019-02-20,0.37727822906768704,756.0655710516642,11.0,9,0.8965759911946493,0.8229557351837617,-0.028741018438791288
2019-03-08,"('BBSE3', 'B3SA3')",True,21.25,9.09,1.6528226499802128,,-1.4351440421341266,0.7656662373208069,0.7545564581353934,-1.6615091308587573,21.88,9.36,2019-02-20,0.37727822906768704,756.0655710516642,11.0,10,0.8965759911946493,0.8229557351837617,-0.028741018438791288
