time,open,high,low,close,tick_volume,spread,real_volume,ticker
2020-10-01,94604.0,95486.0,93599.0,95479.0,1804742,0,19366495804,IBOV
2020-10-02,95475.0,95996.0,93897.0,94016.0,6591936,0,75701770626,IBOV
2020-10-05,94020.0,96414.0,93984.0,96089.0,1664555,0,17900800784,IBOV
2020-10-06,96091.0,97405.0,95211.0,95615.0,2021995,0,21990094400,IBOV
2020-10-07,95616.0,96380.0,94881.0,95526.0,1881367,0,20457104677,IBOV
2020-10-08,95543.0,97938.0,95531.0,97920.0,8969995,0,109312544885,IBOV
2020-10-09,97924.0,98642.0,97161.0,97483.0,2033948,0,22995268974,IBOV
2020-10-13,97483.0,98998.0,97336.0,98503.0,6964669,0,76536213852,IBOV
2020-10-14,98501.0,99571.0,98501.0,99334.0,9166593,0,102681316595,IBOV
2020-10-15,99315.0,99486.0,97778.0,99054.0,3664330,0,35595999298,IBOV
2020-10-16,99054.0,99172.0,98309.0,98309.0,1811915,0,17083914304,IBOV
2020-10-19,98310.0,99917.0,98310.0,98658.0,7220201,0,82005323894,IBOV
2020-10-20,98672.0,100722.0,98670.0,100540.0,1658535,0,19620231476,IBOV
2020-10-21,100530.0,101586.0,100149.0,100552.0,1721651,0,19669236389,IBOV
2020-10-22,100553.0,102020.0,100457.0,101918.0,1703077,0,22496498753,IBOV
2020-10-23,101918.0,102218.0,101188.0,101260.0,3011738,0,35461318772,IBOV
2020-10-26,101260.0,101784.0,99762.0,101017.0,1467129,0,16463416295,IBOV
2020-10-27,101017.0,101660.0,99414.0,99606.0,1615267,0,18911055841,IBOV
2020-10-28,99598.0,99598.0,95369.0,95369.0,1957773,0,21819534524,IBOV
2020-10-29,95376.0,96688.0,93387.0,96582.0,2424834,0,25571117248,IBOV
2020-10-30,96579.0,96579.0,93559.0,93952.0,2223695,0,22709626959,IBOV
2020-11-03,93968.0,96350.0,93968.0,95980.0,2244829,0,21698864288,IBOV
2020-11-04,95992.0,98296.0,95987.0,97867.0,2117770,0,22597470548,IBOV
2020-11-05,97873.0,100922.0,97872.0,100751.0,2137656,0,22847162241,IBOV
2020-11-06,100751.0,101104.0,99837.0,100925.0,5180653,0,55100332342,IBOV
2020-11-09,100957.0,105147.0,100957.0,103515.0,3290918,0,39587801774,IBOV
2020-11-10,103516.0,105758.0,103453.0,105067.0,3060478,0,39607395561,IBOV
2020-11-11,105067.0,105462.0,104144.0,104809.0,2233059,0,25279723871,IBOV
2020-11-12,104809.0,105019.0,102034.0,102507.0,2223821,0,24633644091,IBOV
2020-11-13,102525.0,104726.0,102523.0,104723.0,2089851,0,22930466948,IBOV
2020-11-16,104729.0,106518.0,104729.0,106430.0,2270095,0,29832671284,IBOV
2020-11-17,106400.0,107810.0,105847.0,107249.0,2205946,0,27396527100,IBOV
2020-11-18,107246.0,107467.0,106043.0,106119.0,2073216,0,23539667591,IBOV
2020-11-19,106117.0,106973.0,105545.0,106670.0,1785898,0,20662547665,IBOV
2020-11-20,106670.0,106764.0,105680.0,106043.0,1500947,0,16869107330,IBOV
2020-11-23,106051.0,107495.0,106051.0,107379.0,1806517,0,22558180774,IBOV
2020-11-24,107378.0,109956.0,107361.0,109786.0,2422910,0,29323021371,IBOV
2020-11-25,109786.0,110596.0,109315.0,110133.0,5904120,0,64055832216,IBOV
2020-11-26,110133.0,110245.0,109418.0,110227.0,1192850,0,14474325543,IBOV
2020-11-27,110229.0,111603.0,110161.0,110576.0,1693719,0,21996885952,IBOV
2020-11-30,110598.0,110934.0,108829.0,108893.0,2423367,0,39294350618,IBOV
2020-12-01,108897.0,111840.0,108897.0,111400.0,26114788,0,298448545660,IBOV
2020-12-02,111402.0,112315.0,110579.0,111879.0,2004650,0,27180166260,IBOV
2020-12-03,111874.0,113377.0,111874.0,112292.0,4798922,0,57299790628,IBOV
2020-12-04,112294.0,113864.0,112294.0,113750.0,1895203,0,24394923251,IBOV
2020-12-07,113770.0,114531.0,112629.0,113590.0,1789801,0,22793264779,IBOV
2020-12-08,113628.0,114381.0,112820.0,113793.0,1744494,0,21625072022,IBOV
2020-12-09,113799.0,114020.0,112567.0,113001.0,5293142,0,64219993296,IBOV
2020-12-10,113005.0,115262.0,112732.0,115129.0,6087123,0,89216419127,IBOV
2020-12-11,115128.0,115527.0,113949.0,115128.0,1834361,0,20672101554,IBOV
2020-12-14,115137.0,115740.0,114431.0,114611.0,1595039,0,19215064819,IBOV
2020-12-15,114613.0,116390.0,114613.0,116149.0,1610423,0,20230426949,IBOV
2020-12-16,116147.0,118178.0,115496.0,117857.0,2259223,0,25230910042,IBOV
2020-12-17,117868.0,119027.0,117856.0,118401.0,1571325,0,19777217341,IBOV
2020-12-18,118387.0,119371.0,117638.0,118024.0,1625009,0,22710013103,IBOV
2020-12-21,118021.0,118021.0,114730.0,115823.0,1854620,0,24575616046,IBOV
2020-12-22,115825.0,116903.0,115648.0,116636.0,34141112,0,446114811494,IBOV
2020-12-23,116636.0,118311.0,116636.0,117807.0,1212305,0,15526589903,IBOV
2020-12-28,117805.0,119213.0,117805.0,119124.0,1271004,0,15804595860,IBOV
2020-12-29,119120.0,119861.0,118750.0,119409.0,5809918,0,59536465132,IBOV
2020-12-30,119410.0,120150.0,118919.0,119017.0,1413901,0,20037953628,IBOV
2021-01-04,119028.0,120354.0,118062.0,118855.0,1933001,0,22697189065,IBOV
2021-01-05,118835.0,119790.0,116756.0,119376.0,2030177,0,24078693233,IBOV
2021-01-06,119382.0,120924.0,118917.0,119100.0,4799898,0,64056183622,IBOV
2021-01-07,119103.0,122697.0,119101.0,122386.0,16311520,0,227920332818,IBOV
2021-01-08,122386.0,125324.0,122386.0,125077.0,2270244,0,32983450423,IBOV
2021-01-11,125068.0,125069.0,122506.0,123255.0,2078062,0,26982232894,IBOV
2021-01-12,123255.0,124584.0,123228.0,123998.0,2018513,0,25366453624,IBOV
2021-01-13,123996.0,124032.0,121016.0,121933.0,1900672,0,27657650685,IBOV
2021-01-14,122009.0,123896.0,121998.0,123481.0,1816791,0,23347591141,IBOV
2021-01-15,123472.0,123472.0,120185.0,120349.0,1872316,0,26107242011,IBOV
2021-01-18,120362.0,122586.0,120360.0,121242.0,1426115,0,19231139756,IBOV
2021-01-19,121250.0,122120.0,119257.0,120636.0,1669416,0,21846272948,IBOV
2021-01-20,120645.0,121449.0,118740.0,119646.0,1633498,0,20605776802,IBOV
2021-01-21,119624.0,120243.0,117785.0,118329.0,1856688,0,23557925606,IBOV
2021-01-22,118299.0,118299.0,116109.0,117381.0,1920492,0,22641301449,IBOV
2021-01-26,117429.0,119167.0,116109.0,116464.0,2337597,0,26369679080,IBOV
2021-01-27,116464.0,117840.0,114887.0,115882.0,2197741,0,26982263852,IBOV
2021-01-28,115882.0,119355.0,115734.0,118883.0,6123232,0,79830378264,IBOV
2021-01-29,118852.0,118859.0,114973.0,115068.0,2039285,0,26292899937,IBOV
2021-02-01,115093.0,117862.0,115093.0,117518.0,2093416,0,22721498575,IBOV
2021-02-02,117519.0,119805.0,117519.0,118234.0,2603983,0,30133751125,IBOV
2021-02-03,118235.0,120210.0,118234.0,119725.0,1910020,0,23718095732,IBOV
2021-02-04,119736.0,120560.0,118918.0,119261.0,1632096,0,22001791424,IBOV
2021-02-05,119261.0,121117.0,119261.0,120240.0,1593418,0,22460147099,IBOV
2021-02-08,120239.0,120844.0,119140.0,119696.0,1823401,0,22667424145,IBOV
2021-02-09,119696.0,119975.0,118246.0,119472.0,1623440,0,22127595694,IBOV
2021-02-10,119482.0,119738.0,117970.0,118435.0,1964467,0,23926519763,IBOV
2021-02-11,118440.0,120283.0,118440.0,119300.0,6422840,0,83178441526,IBOV
2021-02-12,119300.0,119763.0,118163.0,119429.0,1442402,0,17987573954,IBOV
2021-02-17,119421.0,120597.0,118880.0,120356.0,1570490,0,21918971164,IBOV
2021-02-18,120361.0,120846.0,118515.0,119199.0,2299815,0,29158364138,IBOV
2021-02-19,119201.0,119250.0,117867.0,118431.0,2074576,0,27401019336,IBOV
